feature,importance
cat__marital-status_Married-civ-spouse,0.39608167119943805
num__education-num,0.19956316043105435
num__capital-gain,0.19593955241728847
num__capital-loss,0.06187834459004069
num__age,0.05726038944672189
num__hours-per-week,0.034852182340303975
cat__occupation_Exec-managerial,0.01942967868332203
cat__occupation_Other-service,0.006249349070872916
cat__occupation_Farming-fishing,0.005526193191206887
cat__relationship_Wife,0.003994016657062412
cat__workclass_Self-emp-not-inc,0.0037892821777761043
cat__workclass_Federal-gov,0.0022607728621671644
num__fnlwgt,0.001929320333650626
cat__relationship_Husband,0.0012813222941796896
cat__marital-status_Never-married,0.001231387689707106
cat__sex_Female,0.0008304497567327056
cat__occupation_Handlers-cleaners,0.0007766606558015594
cat__sex_Male,0.0007643610240834328
cat__workclass_Local-gov,0.0007273749560565789
cat__occupation_Prof-specialty,0.0006956970111164539
